Notes,drop,P0,P1,P2,C01,C12,C20
NOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
alan goofing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
restart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
in arch0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
standing arch0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
moving arch0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
milling around arch0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
milling around arch0 and 2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
milling around arch012,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
michael milling 0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
michael milling arch1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
michael milling arch2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
c02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
more difficult c02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
c12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
c012,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
diff c012,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
frenetic c012,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
coor02 not coor1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
